Matthew1:1 アブラハムの子であるダビデの子、イエス・キリストの系図。 
Matthew8:28 それから、向こう岸、ガダラ人の地に着かれると、悪霊につかれたふたりの者が、墓場から出てきてイエスに出会った。彼らは手に負えない乱暴者で、だれもその辺の道を通ることができないほどであった。 
Matthew8:29 すると突然、彼らは叫んで言った、「神の子よ、あなたはわたしどもとなんの係わりがあるのです。まだその時ではないのに、ここにきて、わたしどもを苦しめるのですか」。 
Matthew8:30 さて、そこからはるか離れた所に、おびただしい豚の群れが飼ってあった。 
Matthew8:31 悪霊どもはイエスに願って言った、「もしわたしどもを追い出されるのなら、あの豚の群れの中につかわして下さい」。 
Matthew8:32 そこで、イエスが「行け」と言われると、彼らは出て行って、豚の中へはいり込んだ。すると、その群れ全体が、がけから海へなだれを打って駆け下り、水の中で死んでしまった。 
Matthew8:33 飼う者たちは逃げて町に行き、悪霊につかれた者たちのことなど、いっさいを知らせた。 
Matthew8:34 すると、町中の者がイエスに会いに出てきた。そして、イエスに会うと、この地方から去ってくださるようにと頼んだ。 
Matthew9:1 さて、イエスは舟に乗って海を渡り、自分の町に帰られた。 
Matthew9:2 すると、人々が中風の者を床の上に寝かせたままでみもとに運んできた。イエスは彼らの信仰を見て、中風の者に、「子よ、しっかりしなさい。あなたの罪はゆるされたのだ」と言われた。 
Matthew9:3 すると、ある律法学者たちが心の中で言った、「この人は神を汚している」。 
Matthew9:4 イエスは彼らの考えを見抜いて、「なぜ、あなたがたは心の中で悪いことを考えているのか。 
Matthew9:5 あなたの罪はゆるされた、と言うのと、起きて歩け、と言うのと、どちらがたやすいか。 
Matthew9:6 しかし、人の子は地上で罪をゆるす権威をもっていることが、あなたがたにわかるために」と言い、中風の者にむかって、「起きよ、床を取りあげて家に帰れ」と言われた。 
Matthew9:7 すると彼は起きあがり、家に帰って行った。 
Matthew9:8 群衆はそれを見て恐れ、こんな大きな権威を人にお与えになった神をあがめた。 
Matthew9:9 さてイエスはそこから進んで行かれ、マタイという人が収税所にすわっているのを見て、「わたしに従ってきなさい」と言われた。すると彼は立ちあがって、イエスに従った。 
Matthew9:10 それから、イエスが家で食事の席についておられた時のことである。多くの取税人や罪人たちがきて、イエスや弟子たちと共にその席に着いていた。 
Matthew9:11 パリサイ人たちはこれを見て、弟子たちに言った、「なぜ、あなたがたの先生は、取税人や罪人などと食事を共にするのか」。 
Matthew9:12 イエスはこれを聞いて言われた、「丈夫な人には医者はいらない。いるのは病人である。 
Matthew9:13 『わたしが好むのは、あわれみであって、いけにえではない』とはどういう意味か、学んできなさい。わたしがきたのは、義人を招くためではなく、罪人を招くためである」。 
Matthew9:14 そのとき、ヨハネの弟子たちがイエスのところにきて言った、「わたしたちとパリサイ人たちとが断食をしているのに、あなたの弟子たちは、なぜ断食をしないのですか」。 
Matthew9:15 するとイエスは言われた、「婚礼の客は、花婿が一緒にいる間は、悲しんでおられようか。しかし、花婿が奪い去られる日が来る。その時には断食をするであろう。 
Matthew9:16 だれも、真新しい布ぎれで、古い着物につぎを当てはしない。そのつぎきれは着物を引き破り、そして、破れがもっとひどくなるから。 
Matthew9:17 だれも、新しいぶどう酒を古い皮袋に入れはしない。もしそんなことをしたら、その皮袋は張り裂け、酒は流れ出るし、皮袋もむだになる。だから、新しいぶどう酒は新しい皮袋に入れるべきである。そうすれば両方とも長もちがするであろう」。 
Matthew9:18 これらのことを彼らに話しておられると、そこにひとりの会堂司がきて、イエスを拝して言った、「わたしの娘がただ今死にました。しかしおいでになって手をその上においてやって下さい。そうしたら、娘は生き返るでしょう」。 
Matthew9:19 そこで、イエスが立って彼について行かれると、弟子たちも一緒に行った。 
Matthew9:20 するとそのとき、十二年間も長血をわずらっている女が近寄ってきて、イエスのうしろからみ衣のふさにさわった。 
Matthew9:21 み衣にさわりさえすれば、なおしていただけるだろう、と心の中で思っていたからである。 
Matthew9:22 イエスは振り向いて、この女を見て言われた、「娘よ、しっかりしなさい。あなたの信仰があなたを救ったのです」。するとこの女はその時に、いやされた。 
